Sites,bothid_ovm,bothid_passive,labrid_ovm,labrid_passive,mullid_passive,pomacentrid_passive,scarid_passive,scorpid_passive,serranid_passive,mullid_ovm,pomacentrid_ovm,scarid_ovm,scorpid_ovm,serranid_ovm
186,2945,2500,2909,2511,2506,2521,2505,2526,2535,2937,3007,2885,2976,2952
474,11,41,14,32,32,38,43,29,22,17,16,9,9,2
482,0,13,0,14,6,3,4,9,5,0,0,0,0,0
487,57,352,73,345,363,349,358,343,352,55,13,106,39,14
491,33,136,54,135,133,132,128,133,129,11,2,50,17,
495,0,0,0,5,1,0,3,2,1,0,0,0,0,0
