Weighted,Preflexion,Flexion,Postflexion
Labridae,1.796078431,1.866666667,1.887737478
Scaridae,1.6,1.267973856,1.147727273
Bothidae,1.768472906,1.791666667,2.042553191
Scorpaenidae,1.652173913,1.824324324,2.23943662
Serranidae,1.823779193,2.198675497,2.625
Synodontidae,1.690140845,2.078431373,1.928571429
Mullidae,1.508928571,1.737373737,1.518518519
Pomcentridae,1.666666667,1.927927928,2.222222222
