Sites,bothid_v,mullid_v,pomacentrid_v,scarid_v,scorpid_v,serranid_v,labrid_v,labrid_p,mullid_p,pomacentrid_p,scarid_p,scorpid_p,serranid_p,bothid_p
186,2945,2937,3007,2885,2976,2952,2909,2511,2506,2521,2505,2526,2535,2500
474,11,17,16,9,9,2,14,32,32,38,43,29,22,41
482,0,0,0,0,0,0,0,14,6,3,4,9,5,13
487,57,55,13,106,39,14,73,345,363,349,358,343,352,352
491,33,11,2,50,17,0,54,135,133,132,128,133,129,136
495,0,0,0,0,0,0,0,5,1,0,3,2,1,0
