Sites,bothid_p,labrid_p,mullid_p,pomacentrid_p,scarid_p,scorpid_p,serranid_p,mullid_v,pomacentrid_v,scarid_v,scorpid_v,serranid_v,bothid_v,labrid_v
74,0,0,0,0,0,0,1,0,0,0,0,0,0,0
378,3,1,2,8,0,0,1,2,1,1,2,0,1,0
397,2657,0,0,0,0,0,2689,0,0,2657,2669,2657,0,2658
412,103,0,0,0,0,0,96,0,0,117,105,116,0,99
440,11,4,5,5,7,3,6,9,1,10,6,7,8,13
444,244,239,243,231,224,8,231,224,277,235,244,235,250,253
458,32,38,33,34,37,223,26,27,27,30,24,35,23,27
467,0,0,0,0,1,25,0,0,0,0,0,0,0,0
