Sites,bothid_solitary_ovm,bothid_solitary_passive,labrid_solitary_ovm,labrid_solitary_passive,mullid_solitary_passive,pomacentrid_solitary_passive,scarid_solitary_passive,scorpid_solitary_passive,serranid_solitary_passive,mullid_solitary_ovm,pomacentrid_solitary_ovm,scarid_solitary_ovm,scorpid_solitary_ovm,serranid_solitary_ovm
74,0,0,0,0,0,0,0,0,1,0,0,0,0,0
378,1,3,,1,2,8,0,0,1,2,1,1,2,0
397,0,2657,2658,0,0,0,0,0,2689,0,0,2657,2669,2657
412,0,103,99,0,0,0,0,0,96,0,0,117,105,116
440,8,11,13,4,5,5,7,3,6,9,1,10,6,7
444,250,244,253,239,243,231,224,8,231,224,277,235,244,235
458,23,32,27,38,33,34,37,223,26,27,27,30,24,35
467,0,0,0,0,0,0,1,25,0,0,0,0,0,0
